id,name_de,synonyms_de,name_fr,synonyms_fr,name_it,synonyms_it,name_en,synonyms_en,category_de,category_fr,category_it,category_en,kcal,fat,protein
1479,"Apfelkuchen, gebacken (mit Blätterteig)",Apfelwähe,"Tarte aux pommes, cuite au four (pâte feuilletée)",,"Torta di mele, cotta nel forno (pasta sfoglia)",,"Apple pie, baked (with puff pastry)",,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins","Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",142,7,2.3
1480,"Apfelkuchen, gebacken (mit Kuchenteig)",Apfelwähe,"Tarte aux pommes, cuite au four (pâte à gateau)",,"Torta di mele, cotta nel forno (pasta per torta)",,"Apple pie, baked (with cake dough)",,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins","Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",134,4.9,2.7
627,"Apfelmus, gezuckert (Konserve)",,"Purée de pommes, sucrée, conserve",,"Mele, purea, zuccherata, conserva",,"Applesauce, sweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),90,0.3,0.3
628,"Apfelmus, ungezuckert (Konserve)",,"Purée de pommes, non sucrée, conserve",,"Mele, purea, non zuccherata, conserva",,"Applesauce, unsweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),55,0.3,0.3
568,Apfelsaft,Süssmost,Jus de pomme,,Succo di mele,,Apple juice,,Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte,Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,44,0.1,0.1
512,"Apfelwein, 4 vol%",Apfelmost;Saurer Most;Cider,"Cidre de pomme, 4 vol%",,"Sidro di mele, 4 vol%",,"Cider, 4 vol%",,Alkoholhaltige Getränke/Wein,Boissons alcoolisées/Vin,Bevande alcoliche/Vino,Alcoholic beverages/Wine,32,0,0
513,"Apfelwein, 6.2 vol%",Apfelmost;Saurer Most;Cider,"Cidre de pomme, 6.2 vol%",,"Sidro di mele, 6.2 vol%",,"Cider, 6.2 vol%",,Alkoholhaltige Getränke/Wein,Boissons alcoolisées/Vin,Bevande alcoliche/Vino,Alcoholic beverages/Wine,64,0,0
554,"Appenzeller, viertelfett",,"Appenzeller, quart-gras",,"Formaggio Appenzeller, un quarto grasso",,"Appenzeller, at least 15% fidm",,Milch und Milchprodukte/Hartkäse,Lait et produits laitiers/Fromage à pâte dure,Latte e prodotti di latte/Formaggio a pasta dura,Milk and dairy products/Hard cheese,238,11.4,33.8
553,"Appenzeller, vollfett",,"Appenzeller, gras",,"Formaggio Appenzeller, grasso",,"Appenzeller, at least 45% fidm",,Milch und Milchprodukte/Hartkäse,Lait et produits laitiers/Fromage à pâte dure,Latte e prodotti di latte/Formaggio a pasta dura,Milk and dairy products/Hard cheese,386,31.7,24.8
1051,"Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker)",Marille,"Abricot, cuit,  égoutté (sans adjonction de sucre)",,"Albicocche, cotte, sgocciolate (senza aggiunta di zucchero)",,"Apricot, stewed, drained (without addition of sugar) ",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),60,0.1,1
469,"Aprikose, getrocknet",Dörraprikose,"Abricot, sec",,"Albicocche, secche",,"Apricot, dried",,Früchte/Früchte getrocknet,Fruits/Fruits secs,Frutta/Frutta secca,Fruit/Dried fruit,275,0.5,5
621,"Aprikose, gezuckert (Konserve)",Marille,"Abricot, sucré, conserve",,"Albicocche, zuccherate, conserva",,"Apricot, sweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),84,0.1,0.7
379,"Aprikose, roh",Marille,"Abricot, cru",,"Albicocca, cruda",,"Apricot, raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,48,0.1,0.8
623,"Aprikose, ungezuckert (Konserve)",Marille,"Abricot, non sucré, conserve",,"Albicocche, non zuccherate, conserva",,"Apricot, unsweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),48,0.1,0.8
1481,"Aprikosenkuchen, gebacken (mit Blätterteig)",Aprikosenwähe,"Tarte aux abricots, cuite au four (pâte feuilletée)",,"Torta d'albicocca, cotta nel forno (pasta sfoglia)",,"Apricot pie, baked (with puff pastry)",,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins","Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",137,6.8,2.6
1482,"Aprikosenkuchen, gebacken (mit Kuchenteig)",Aprikosenwähe,"Tarte aux abricots, cuite au four (pâte à gateau)",,"Torta di albicocca, cotta nel forno (pasta per torta)",,"Apricot pie, baked (with cake dough)",,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins","Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",128,4.7,3
1003,"Aubergine, gedünstet (ohne Zugabe von Fett und Salz)",Eierfrucht,"Aubergine, à l'étuveée (sans adjonction de graisse ni de sel)",,"Melanzane, stufate (senza aggiunta di grassi o sale)",,"Eggplant, stewed (without addition of fat and salt)",,Gemüse/Gemüse gekocht (inkl. Konserven),Légumes/Légumes cuits (conserves comprises),Verdure/Verdure cotte (incl. conserve),Vegetables/Cooked vegetables (incl. cans),28,0.2,1.2
349,"Aubergine, roh",Eierfrucht,"Aubergine, crue",,"Melanzana, cruda",,"Eggplant, raw",,Gemüse/Gemüse frisch,Légumes/Légumes frais,Verdure/Verdure fresche,Vegetables/Fresh vegetables,23,0.2,1
1659,"Auberginen-Piccata, zubereitet",,"Piccata d'aubergines, préparée",,"Piccata di melanzane, preparata",,"Eggplant piccata, prepared",,Gerichte/Sonstige salzige/rezente Gerichte,Plats/Autres plats salés/épicés,Cibi/Altri cibi salati/saporiti,Prepared dishes/Other savoury dishes,169,11.8,5.3
1658,"Auberginenscheiben, paniert, zubereitet",,"Tranches d'aubergine, panées, préparées",,"Fette di melanzana, impanate, preparate",,"Eggplant slices, breaded, prepared",,Gerichte/Sonstige salzige/rezente Gerichte,Plats/Autres plats salés/épicés,Cibi/Altri cibi salati/saporiti,Prepared dishes/Other savoury dishes,139,5.9,4.8
10353,Aufschnitt (Durchschnitt),,Charcuterie (moyenne),,Affettato (in media),,Cold cuts (average),,Fleisch- und Wurstwaren/Brühwurstware,Produits carnés et charcuterie/Produits de charcuterie bouillis,Prodotti carnei e insaccati/Salsicce scottate,Sausages and cold meats/Boilded sausage products,289,25.5,14.1
380,"Avocado, roh",,"Avocat, cru",,"Avocado, crudo",,"Avocado, fresh",,"Gemüse/Gemüse frisch;Nüsse, Samen und Ölfrüchte","Légumes/Légumes frais;Noix, graines et produits oléagineux","Verdure/Verdure fresche;Noci, semi e frutti oleosi","Vegetables/Fresh vegetables;Nuts, seeds and oleaginous fruit",144,14.2,1.8
763,"Bäckerhefe, gepresst",Bierhefe,"Levure de boulangerie, pressée",,"Lievito per pane, pressato",,"Yeast (baking), pressed",,Verschiedenes/Hefe;Verschiedenes/Backzutaten,Divers/Levure;Divers/Ingrédients de boulangerie-pâtisserie,Diversi/Lievito;Diversi/Ingredienti per prodotti da forno,Various/Yeast;Various/Baking ingredients,96,1.2,16.7
1577,"Bami Goreng, zubereitet",,"Bami Goreng, préparé",,"Bami Goreng, preparato",,"Bami Goreng, prepared",,Gerichte/Asiatische Gerichte,Plats/Plats asiatiques,Cibi/Cibi asiatici,Prepared dishes/Asian dishes,137,2.6,14
740,"Banane, gedörrt",Bananenchips,"Banane, déshydratée (chips)",,Chips di banana secca ,,"Banana, dried (banana chips)",,Früchte/Früchte getrocknet,Fruits/Fruits secs,Frutta/Frutta secca,Fruit/Dried fruit,370,1.8,3.9
741,"Banane, getrocknet",,"Banane, mi-sèche","Banane, séchée","Banana, secca",,"Banana, dried",,Früchte/Früchte getrocknet,Fruits/Fruits secs,Frutta/Frutta secca,Fruit/Dried fruit,273,1,3
381,"Banane, roh",,"Banane, crue",,"Banana, cruda",,"Banana, raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,95,0.3,1.1
464,"Basilikum, roh",,"Basilic, cru",,"Basilico, fresco",,"Basil, raw",,Gemüse/Kräuter,Légumes/Herbes aromatiques,Verdure/Erbe aromatiche,Vegetables/Herbs,46,0.8,3.1
1248,Basler Leckerli,,Leckerli de Bâle,,Leckerli di Basilea,,Basler Leckerli (Swiss biscuit from Basel),,Süssigkeiten/Guetzli,Sucreries/Biscuits,Dolciumi/Biscotti,Sweets/Cookies/Biscuits,404,7.6,6.9
13344,"Bauernbratwurst, gebraten (ohne Zusatz von Fett un Salz)",,"Saucisse à rôtir de porc, grillée (sans adjonction de graisse ni de sel)",,"Salsiccia da arrostire di maiale, alla griglia (senza aggiunta di grassi o sale)",,"Bratwurst, fried sausage, grilled (without addition of fat and salt)",,Fleisch- und Wurstwaren/Rohwurstware,Produits carnés et charcuterie/Produits de charcuterie crus,Prodotti carnei e insaccati/Insaccati crudi,Sausages and cold meats/Raw sausage products,270,20.4,21.1
841,"Bauernbratwurst, roh",Schweinsbratwurst,"Saucisse à rôtir de porc, crue",,"Salsiccia da arrostire di maiale, cruda",,"Bratwurst, fried sausage, pork, raw",,Fleisch- und Wurstwaren/Rohwurstware,Produits carnés et charcuterie/Produits de charcuterie crus,Prodotti carnei e insaccati/Insaccati crudi,Sausages and cold meats/Raw sausage products,243,19.3,16.9
1268,Bauernbrot,Burebrot,Pain paysan,,Pane contadino,,Farmers' bread,,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren","Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie","Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria","Bread, flakes and breakfast cereals/Bread and bread products",240,2,9
784,Bauernsalami,Salami nach Bauernart,Salami à la mode campagnarde,,Salame di campagna,,Salami Farmer style,,Fleisch- und Wurstwaren/Rohwurstware,Produits carnés et charcuterie/Produits de charcuterie crus,Prodotti carnei e insaccati/Insaccati crudi,Sausages and cold meats/Raw sausage products,532,49.5,20.6
787,Bauernschüblig,,Schüblig de campagne,,Schüblig di campagna,,Peasant's Schüblig,,Fleisch- und Wurstwaren/Rohwurstware,Produits carnés et charcuterie/Produits de charcuterie crus,Prodotti carnei e insaccati/Insaccati crudi,Sausages and cold meats/Raw sausage products,524,48.5,21.3
271,Baumnuss,Walnuss,Noix,,Noci,,Walnut,,"Nüsse, Samen und Ölfrüchte","Noix, graines et produits oléagineux","Noci, semi e frutti oleosi","Nuts, seeds and oleaginous fruit",742,70.8,15.9
831,Baumnussbrot,,Pain aux noix,,Pane alle noci,,Bread with walnuts,,"Brote, Flocken und Frühstückscerealien/Brote und Brotwaren","Pains, flocons et céréales pour le petit-déjeuner/Pains et produits de boulangerie","Pane, fiocchi e cereali per la prima colazione/Pane e prodotti di panetteria","Bread, flakes and breakfast cereals/Bread and bread products",338,18.6,8.9
12981,Béchamelsauce hausgemacht,,Sauce Béchamel fait maison,,Salsa Béchamel fatta in casa,,Béchamel sauce home made,,Verschiedenes/Saucen,Divers/Sauces,Diversi/Salse,Various/Sauces,148,9.9,4.3
1122,"Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker)",,"Baie (moyenne), cuite (sans adjonction de sucre)",,"Bacche (in media), cotte (senza aggiunta di zucchero),",,"Berries (average), cooked (without addition of sugar)",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),44,0.5,0.8
1119,"Beeren (Durchschnitt), roh",,"Baie (moyenne), crue",,"Bacche (in media), crude",,"Berries (average), raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,42,0.5,0.8
851,Berliner,Pfannkuchen,Boule de Berlin,,Bombolone farcito ,Berliner,Berliner pastry,,Süssigkeiten/Sonstige süsse Backwaren,Sucreries/Autres articles de pâtisserie,Dolciumi/Altre pasticcerie dolci,Sweets/Other sweet pastries,326,12.8,8.4
1211,Berner Alpkäse,,Fromage des alpes bernoises,,Formaggio dei alpi di Berna,,Bernese alp cheese,,Milch und Milchprodukte/Hartkäse,Lait et produits laitiers/Fromage à pâte dure,Latte e prodotti di latte/Formaggio a pasta dura,Milk and dairy products/Hard cheese,456,38.3,27.7
1212,Berner Hobelkäse,,Berner Hobelkäse (fromage à rebibes),,Berner Hobelkäse (formaggio rotoli),,Bernese cheese for slicing,,Milch und Milchprodukte/Hartkäse,Lait et produits laitiers/Fromage à pâte dure,Latte e prodotti di latte/Formaggio a pasta dura,Milk and dairy products/Hard cheese,493,41.2,30.6
790,Berner Zungenwurst,,Saucisse bernoise (à la langue),,Salsiccia bernese (di lingua),,Bernese tongue sausage,,Fleisch- und Wurstwaren/Brühwurstware,Produits carnés et charcuterie/Produits de charcuterie bouillis,Prodotti carnei e insaccati/Salsicce scottate,Sausages and cold meats/Boilded sausage products,334,29.4,17.3
859,Biber,,Biber,,Biber,,Biber (Filled ginger bread type),,Süssigkeiten/Sonstige süsse Backwaren,Sucreries/Autres articles de pâtisserie,Dolciumi/Altre pasticcerie dolci,Sweets/Other sweet pastries,464,19.9,10.3
1183,Bier Panache (Durchschnitt),,Bière panachée (moyenne),,Birra panaché (media),,Beer shandy (average),,Alkoholhaltige Getränke/Bier,Boissons alcoolisées/Bière,Bevande alcoliche/Birra,Alcoholic beverages/Beer,38,0,0.2
839,"Bierhefe, getrocknet",Bäckerhefe;Trockenhefe;Hefepulver,"Levure de bière, séchée",,"Lievito di birra, secco",,"Yeast, dried",,Speziallebensmittel/Supplemente;Verschiedenes/Hefe,Denrées alimentaires spéciales/Suppléments;Divers/Levure,Alimenti speciali/Supplementi;Diversi/Lievito,Special foods/Supplements;Various/Yeast,354,4.2,47.9
789,Bierwurst,,Saucisse du brasseur,,Salsiccia del birraio,,"Bierwurst (coarse heat-treated, cured & smoked sausage, beef and pork)",,Fleisch- und Wurstwaren/Brühwurstware,Produits carnés et charcuterie/Produits de charcuterie bouillis,Prodotti carnei e insaccati/Salsicce scottate,Sausages and cold meats/Boilded sausage products,350,31.3,16.8
1198,"Birchermüesli, zubereitet (ungezuckert)",,"Birchermüesli, préparé (non sucré)",,"Birchermüesli, preparato (non zuccherato)",,"Birchermüesli, prepared (no sugar added)",,Gerichte/Müesli,Plats/Müesli,Cibi/Muesli,Prepared dishes/Muesli,87,3.1,2.7
1050,"Birne, gedünstet, abgetropft (ohne Zugabe von Zucker)",,"Poire, cuite,  égouttée (sans adjonction de sucre)",,"Pere, cotte, sgocciolate (senza aggiunta di zucchero)",,"Pear, stewed, drained (without addition of sugar)",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),75,0.4,0.5
433,"Birne, getrocknet",Dörrbirne;Trockenbirne,"Poire, séchée",,"Pere, secche",,"Pear, dried",,Früchte/Früchte getrocknet,Fruits/Fruits secs,Frutta/Frutta secca,Fruit/Dried fruit,288,1.4,2.4
620,"Birne, gezuckert (Konserve)",,"Poire, sucrée, conserve",,"Pere, zuccherate, conserva",,"Pear, sweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),92,0.3,0.4
382,"Birne, roh",,"Poire, crue",,"Pera, cruda",,"Pear, raw",,Früchte/Früchte frisch,Fruits/Fruits frais,Frutta/Frutta fresca,Fruit/Fresh fruit,58,0.3,0.4
626,"Birne, ungezuckert (Konserve)",,"Poire, non sucrée, conserve",,"Pere, non zuccherate, conserva",,"Pear, unsweetened, canned",,Früchte/Früchte gekocht (inkl. Konserven),Fruits/Fruits cuits (conserves comprises),Frutta/Frutta cotta (incl. conserve),Fruit/Cooked fruit (incl. cans),58,0.3,0.4
1483,"Birnenkuchen, gebacken (mit Blätterteig)",Birnenwähe,"Tarte aux poires, cuite au four (pâte feuilletée)",,"Torta di pera, cotta nel forno (pasta sfoglia)",,"Pear pie, baked (with puff pastry)",,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins","Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",144,7,2.4
1484,"Birnenkuchen, gebacken (mit Kuchenteig)",Birnenwähe,"Tarte aux poires, cuite au four (pâte à gateau)",,"Torta di pera, cotta nel forno (pasta per torta)",,"Pear pie, baked (with cake dough)",,"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins","Sucreries/Gâteaux, tourtes et cakes;Plats/Tartes sucrées et salées et gratins","Dolciumi/Dolci, torte e cake;Cibi/Torte dolci e salate e gratin","Sweets/Cakes and tarts;Prepared dishes/Cakes, pies and gratins",136,4.9,2.8
562,Birnensaft,,Jus de poire,,Succo di pere,,Pear juice,,Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte,Fruits/Jus de fruits;Boissons sans alcool/Jus de fruits et de légumes,Frutta/Succhi di frutta;Bevande analcoliche/Succhi di frutta e di verdura,Fruit/Fruit juices;Non-alcoholic beverages/Fruit and vegetable juices,50,0.5,0.5
862,Birnenweggen,,Chausson aux poires,,Pasticcino alle pere,,"Birnenweggen, pastry with pear",,Süssigkeiten/Sonstige süsse Backwaren,Sucreries/Autres articles de pâtisserie,Dolciumi/Altre pasticcerie dolci,Sweets/Other sweet pastries,358,10.4,5
579,Blanc battu,,Blanc battu,,Blanc battu,Formaggio fresco magro,Blanc battu,,Milch und Milchprodukte/Frischkäse und Quark,Lait et produits laitiers/Fromage frais et séré,Latte e prodotti di latte/Formaggio fresco e quark,Milk and dairy products/Fresh cheese and curds,43,0.1,7.6
604,Blanc battu mit Früchten light,,Blanc battu aux fruits light,,Blanc battu alla frutta light,,Blanc battu with fruits light,,Milch und Milchprodukte/Frischkäse und Quark,Lait et produits laitiers/Fromage frais et séré,Latte e prodotti di latte/Formaggio fresco e quark,Milk and dairy products/Fresh cheese and curds,68,0.2,8
904,"Blätterteig hausgemacht (Butter), ungebacken",,"Pâte feuillettée faite maison (au beurre), crue",,"Pasta sfoglia casalinga (al burro), cruda",,"Puff pastry home-made (with butter), raw",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige","Produits céréaliers, légumineuses et pommes de terre/Pâtes","Prodotti a base di cereali, legumi e patate/Paste","Cereal products, pulses and potatoes/Dough",364,24.7,5.2
905,"Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken",,"Pâte feuilletée faite maison (avec graisse végétale), crue",,"Pasta sfoglia casalinga (con grasso vegetale), cruda",,"Puff pastry home-made (with vegetable fat), raw",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige","Produits céréaliers, légumineuses et pommes de terre/Pâtes","Prodotti a base di cereali, legumi e patate/Paste","Cereal products, pulses and potatoes/Dough",358,24.1,5.2
849,"Blätterteigpastetli, Butter",,Vol-au-vent au beurre,,"Vol-au-vent, al burro",,Puff pastry patty with butter,,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte","Produits céréaliers, légumineuses et pommes de terre/Autres produits céréaliers","Prodotti a base di cereali, legumi e patate/Altri prodotti a base di cereali","Cereal products, pulses and potatoes/Other cereal products",564,40.5,5.8
928,Blätterteigstängel,Flûtes,Flûte feuilletté,,Bastoncini di pasta sfoglia ,,Puff pastry sticks,,Salzige Snacks/Blätterteiggebäcke,Snacks salés/Produits en pâte feuilletée,Snack salati/Prodotti di pasta sfoglia,Savoury snacks/Puff pastry snacks,497,33.6,7.2
1165,"Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz)",,"Légumes feuille (moyenne sans salade), à la vapeur  (sans adjonction de sel)",,"Verdura a foglia (in media esclusa la lattuga), stufata (senza aggiunta di grassi o sale)",,"Leafy vegetables (average excluding salads), steamed (without addition of salt)",,Gemüse/Gemüse gekocht (inkl. Konserven),Légumes/Légumes cuits (conserves comprises),Verdure/Verdure cotte (incl. conserve),Vegetables/Cooked vegetables (incl. cans),23,0.3,1.6
1166,"Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett)",,"Légumes feuille (moyenne sans salade), à l'étuvée (sans adjonction de graisse ni de sel)",,"Verdura a foglia (in media esclusa la lattuga), brasata (senza aggiunta di grassi o sale)",,"Leafy vegetables (average excluding salads), stewed (without addition of salt and fat)",,Gemüse/Gemüse gekocht (inkl. Konserven),Légumes/Légumes cuits (conserves comprises),Verdure/Verdure cotte (incl. conserve),Vegetables/Cooked vegetables (incl. cans),25,0.3,1.7
1164,"Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett)",,"Légumes feuille (moyenne sans salade), cuits (sans adjonction de graisse ni de sel)",,"Verdura a foglia (in media esclusa la lattuga), cotta (senza aggiunta di grassi o sale)",,"Leafy vegetables (average excluding salads), boiled (without addition of salt and fat)",,Gemüse/Gemüse gekocht (inkl. Konserven),Légumes/Légumes cuits (conserves comprises),Verdure/Verdure cotte (incl. conserve),Vegetables/Cooked vegetables (incl. cans),24,0.3,1.6
1127,"Blattsalat (Durchschnitt), roh ",,"Salade verte (moyenne), crue",,"Lattughe (in media), crude",,"Leafy salad (average), raw ",,Gemüse/Gemüse frisch,Légumes/Légumes frais,Verdure/Verdure fresche,Vegetables/Fresh vegetables,18,0.3,1.6
1191,Blauschimmelkäse (Durchschnitt),,Fromage bleu (moyenne),,Formaggio blu (in media),,Blue cheese (average),,Milch und Milchprodukte/Hartkäse,Lait et produits laitiers/Fromage à pâte dure,Latte e prodotti di latte/Formaggio a pasta dura,Milk and dairy products/Hard cheese,361,31.5,19.1
1004,"Blumenkohl, gedämpft (ohne Zugabe von Salz)",,"Chou-fleur, à la vapeur (sans adjonction de sel)",,"Cavolfiore, al vapore (senza aggiunta di sale)",,"Cauliflower, steamed (without addition of salt)",,Gemüse/Gemüse gekocht (inkl. Konserven),Légumes/Légumes cuits (conserves comprises),Verdure/Verdure cotte (incl. conserve),Vegetables/Cooked vegetables (incl. cans),27,0.3,2.5
350,"Blumenkohl, roh",,"Chou-fleur, cru",,"Cavolfiore, crudo",,"Cauliflower, raw",,Gemüse/Gemüse frisch,Légumes/Légumes frais,Verdure/Verdure fresche,Vegetables/Fresh vegetables,26,0.3,2.4
778,Blutwurst,,Boudin,,Sanguinaccio,,Black pudding,,Fleisch- und Wurstwaren/Kochwurstware,Produits carnés et charcuterie/Produits de charcuterie cuits,Prodotti carnei e insaccati/Insaccati cotti,Sausages and cold meats/Cooked sausage products,151,10.8,10.7
13388,"Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz)",,"Haricot commun (tout type), grain mature, cuit (sans adjonction de graisse ni de sel)",,"Fagiolo comuno (tutti tipi), seme mature, cotto (senza aggiunta di grassi e sale)",,"Common bean (all types), mature seed, cooked (without addition of fat and salt)",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte","Produits céréaliers, légumineuses et pommes de terre/Légumineuses","Prodotti a base di cereali, legumi e patate/Legumi","Cereal products, pulses and potatoes/Pulses",114,0.6,7.8
